model_id,model,method,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,confusion_matrix
RandomForestClassifier__smote,RandomForestClassifier,smote,0.76,0.0851063829787234,0.4444444444444444,0.14285714285714285,0.6893542757417103,0.07713925458097357,0.13846153846153844,"[[148  43]
 [  5   4]]"
RandomForestClassifier__smote_tomek,RandomForestClassifier,smote_tomek,0.76,0.0851063829787234,0.4444444444444444,0.14285714285714285,0.6893542757417103,0.07713925458097357,0.13846153846153844,"[[148  43]
 [  5   4]]"
DecisionTreeClassifier__tomek,DecisionTreeClassifier,tomek,0.605,0.07317073170731707,0.6666666666666666,0.13186813186813187,0.6265270506108203,0.05194293887383319,0.5569368473396318,"[[115  76]
 [  3   6]]"
XGBoostClassifier__baseline,XGBoostClassifier,baseline,0.595,0.06097560975609756,0.5555555555555556,0.10989010989010989,0.5410122164048865,0.04581865363958151,0.055010221898555756,"[[114  77]
 [  4   5]]"
GradientBoostingClassifier__tomek,GradientBoostingClassifier,tomek,0.405,0.056451612903225805,0.7777777777777778,0.10526315789473684,0.6259453170447935,0.08075946719648038,0.013617364660593646,"[[ 74 117]
 [  2   7]]"
XGBoostClassifier__tomek,XGBoostClassifier,tomek,0.485,0.05660377358490566,0.6666666666666666,0.10434782608695652,0.5474112856311809,0.04537574274096464,0.017368843778967857,"[[ 91 100]
 [  3   6]]"
RandomForestClassifier__tomek,RandomForestClassifier,tomek,0.27,0.05228758169934641,0.8888888888888888,0.09876543209876543,0.5468295520651542,0.04555344217329182,0.15323696671698933,"[[ 46 145]
 [  1   8]]"
DecisionTreeClassifier__baseline,DecisionTreeClassifier,baseline,0.17,0.05142857142857143,1.0,0.09782608695652174,0.5913321698662013,0.030829170829170832,0.1979274611398965,"[[ 25 166]
 [  0   9]]"
DecisionTreeClassifier__baseline,DecisionTreeClassifier,baseline,0.17,0.05142857142857143,1.0,0.09782608695652174,0.5913321698662013,0.030829170829170832,0.1979274611398965,"[[ 25 166]
 [  0   9]]"
RandomForestClassifier__tomek,RandomForestClassifier,tomek,0.4,0.04878048780487805,0.6666666666666666,0.09090909090909091,0.5343222803955788,0.04579770658189776,0.05371142123503482,"[[ 74 117]
 [  3   6]]"
GradientBoostingClassifier__smote,GradientBoostingClassifier,smote,0.095,0.04736842105263158,1.0,0.09045226130653267,0.571262361838278,0.15700488096325316,0.3154100816803966,"[[ 10 181]
 [  0   9]]"
